2022-07-02 21:08:35 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&utm_medium=sidebar&utm_campaign=C13_en.wikipedia.org&uselang=en'
2022-07-02 21:08:35 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Unsigned_number'
2022-07-02 21:08:35 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Multiplexing'
2022-07-02 21:08:36 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Wikipedia:Community_portal'
2022-07-02 21:08:36 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Operating_system'
2022-07-02 21:08:37 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Transmission_Control_Protocol'
2022-07-02 21:08:37 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Dynamic_Host_Configuration_Protocol'
2022-07-02 21:08:37 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Datagram'
2022-07-02 21:08:38 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://ro.wikipedia.org/wiki/Port_(re%C8%9Bea)'
2022-07-02 21:08:38 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Doi_(identifier)'
2022-07-02 21:08:38 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Internet_Engineering_Task_Force'
2022-07-02 21:08:39 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://foundation.wikimedia.org/wiki/Privacy_policy'
2022-07-02 21:08:39 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://fi.wikipedia.org/wiki/Portti_(tietoliikenne)'
2022-07-02 21:08:39 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Special:Random'
2022-07-02 21:08:40 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Transmission_Control_Protocol#TCP_segment_structure'
2022-07-02 21:08:40 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Web_browser'
2022-07-02 21:08:41 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Network_News_Transfer_Protocol'
2022-07-02 21:08:41 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Email_client'
2022-07-02 21:08:41 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://commons.wikimedia.org/wiki/Category:Computer_connectors'
2022-07-02 21:08:41 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Talk:Port_(computer_networking)'
2022-07-02 21:08:42 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Category:Internet_protocols'
2022-07-02 21:08:42 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Network_packet'
2022-07-02 21:08:42 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://fr.wikipedia.org/wiki/Port_(logiciel)'
2022-07-02 21:08:43 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://bg.wikipedia.org/wiki/%D0%9C%D1%80%D0%B5%D0%B6%D0%BE%D0%B2_%D0%BF%D0%BE%D1%80%D1%82'
2022-07-02 21:08:43 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://mk.wikipedia.org/wiki/%D0%9F%D0%BE%D1%80%D1%82%D0%B0_(%D1%81%D0%BC%D0%B5%D1%82%D0%B0%D1%87%D0%BA%D0%B8_%D0%BC%D1%80%D0%B5%D0%B6%D0%B8)'
2022-07-02 21:08:43 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://fa.wikipedia.org/wiki/%D8%AF%D8%B1%DA%AF%D8%A7%D9%87_(%D8%B4%D8%A8%DA%A9%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D8%B1%D8%A7%DB%8C%D8%A7%D9%86%D9%87%E2%80%8C%D8%A7%DB%8C)'
2022-07-02 21:08:43 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Simple_Network_Management_Protocol'
2022-07-02 21:08:44 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Help:Referencing_for_beginners'
2022-07-02 21:08:44 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/File_descriptor'
2022-07-02 21:08:44 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Header_(computing)'
2022-07-02 21:08:45 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Domain_Name_System'
2022-07-02 21:08:45 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://www.wikidata.org/wiki/Special:EntityPage/Q858321'
2022-07-02 21:08:45 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/File_Transfer_Protocol'
2022-07-02 21:08:46 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://pl.wikipedia.org/wiki/Port_protoko%C5%82u'
2022-07-02 21:08:46 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://ar.wikipedia.org/wiki/%D9%85%D9%86%D9%81%D8%B0_(%D8%B4%D8%A8%D9%83%D8%A7%D8%AA)'
2022-07-02 21:08:46 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://lv.wikipedia.org/wiki/Ports_(TCP/IP)'
2022-07-02 21:08:47 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Category:Short_description_is_different_from_Wikidata'
2022-07-02 21:08:47 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/RFC_(identifier)'
2022-07-02 21:08:47 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Network_service'
2022-07-02 21:08:47 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Ephemeral_port'
2022-07-02 21:08:48 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Portal:Current_events'
2022-07-02 21:08:48 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Category:All_articles_needing_additional_references'
2022-07-02 21:08:49 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Network_address'
2022-07-02 21:08:49 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Wikipedia:File_Upload_Wizard'
2022-07-02 21:08:49 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Port_scanning'
2022-07-02 21:08:49 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Post_Office_Protocol'
2022-07-02 21:08:50 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Special:SpecialPages'
2022-07-02 21:08:50 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Category:Articles_needing_additional_references_from_October_2016'
2022-07-02 21:08:50 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://de.wikipedia.org/wiki/Port_(Protokoll)'
2022-07-02 21:08:51 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Packet_header'
2022-07-02 21:08:51 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Client%E2%80%93server_model'
2022-07-02 21:08:51 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Category:1972_introductions'
2022-07-02 21:08:52 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Telnet'
2022-07-02 21:08:52 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Internet_Assigned_Numbers_Authority'
2022-07-02 21:08:52 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Network_Time_Protocol'
2022-07-02 21:08:52 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Port_forwarding'
2022-07-02 21:08:53 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Secure_Shell'
2022-07-02 21:08:53 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://af.wikipedia.org/wiki/Sagtewarepoort'
2022-07-02 21:08:53 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://it.wikipedia.org/wiki/Porta_(reti)'
2022-07-02 21:08:54 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Help:Category'
2022-07-02 21:08:54 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Computer_networking'
2022-07-02 21:08:54 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Wikipedia:Verifiability'
2022-07-02 21:08:55 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Internet_socket'
2022-07-02 21:08:55 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://ko.wikipedia.org/wiki/%ED%8F%AC%ED%8A%B8_(%EC%BB%B4%ED%93%A8%ED%84%B0_%EB%84%A4%ED%8A%B8%EC%9B%8C%ED%82%B9)'
2022-07-02 21:08:55 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Port_(circuit_theory)'
2022-07-02 21:08:56 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Main_Page'
2022-07-02 21:08:56 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Category:Articles_with_short_description'
2022-07-02 21:08:56 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://sk.wikipedia.org/wiki/Port_(sie%C5%A5ov%C3%A9_protokoly)'
2022-07-02 21:08:56 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Port_knocking'
2022-07-02 21:08:57 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://simple.wikipedia.org/wiki/Network_port'
2022-07-02 21:08:57 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Wikipedia:About'
2022-07-02 21:08:57 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://no.wikipedia.org/wiki/Port_(datakommunikasjon)'
2022-07-02 21:08:58 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://id.wikipedia.org/wiki/Porta_(jaringan_komputer)'
2022-07-02 21:08:58 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://www.wikidata.org/wiki/Special:EntityPage/Q858321#sitelinks-wikipedia'
2022-07-02 21:08:58 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://es.wikipedia.org/wiki/Puerto_de_red'
2022-07-02 21:08:58 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://pt.wikipedia.org/wiki/Porta_(redes_de_computadores)'
2022-07-02 21:08:59 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Internet_Message_Access_Protocol'
2022-07-02 21:08:59 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://da.wikipedia.org/wiki/Ip-port'
2022-07-02 21:08:59 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Process_(computing)'
2022-07-02 21:09:00 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Security_cracking'
2022-07-02 21:09:00 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://cs.wikipedia.org/wiki/S%C3%AD%C5%A5ov%C3%BD_port'
2022-07-02 21:09:00 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Hypertext_Transfer_Protocol'
2022-07-02 21:09:01 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Help:Maintenance_template_removal'
2022-07-02 21:09:01 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/File:Question_book-new.svg'
2022-07-02 21:09:01 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Transport-layer_protocol'
2022-07-02 21:09:02 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Wikipedia:General_disclaimer'
2022-07-02 21:09:02 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://sv.wikipedia.org/wiki/Port_(datorteknik)'
2022-07-02 21:09:02 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Special:MyContributions'
2022-07-02 21:09:03 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/IP_address'
2022-07-02 21:09:04 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Internet_Relay_Chat'
2022-07-02 21:09:04 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/ARPANET'
2022-07-02 21:09:05 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Special:WhatLinksHere/Port_(computer_networking)'
2022-07-02 21:09:05 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Special:RecentChanges'
2022-07-02 21:09:05 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License'
2022-07-02 21:09:06 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Linus_Torvalds'
2022-07-02 21:09:06 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikiquote.org/wiki/Jon_Postel'
2022-07-02 21:09:06 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://ml.wikipedia.org/wiki/%E0%B4%9C%E0%B5%8B%E0%B5%BB_%E0%B4%AA%E0%B5%8B%E0%B4%B8%E0%B5%8D%E0%B4%B1%E0%B5%8D%E0%B4%B1%E0%B5%BD'
2022-07-02 21:09:07 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Kanchana_Kanchanasut'
2022-07-02 21:09:08 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Stephen_Kent_(network_security)'
2022-07-02 21:09:08 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Template:Cite_web'
2022-07-02 21:09:09 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Nancy_Hafkin'
2022-07-02 21:09:09 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://es.wikipedia.org/wiki/Jon_Postel'
2022-07-02 21:09:10 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Peter_T._Kirstein'
2022-07-02 21:09:10 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Francois_Fluckiger'
2022-07-02 21:09:11 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://ca.wikipedia.org/wiki/Jon_Postel'
2022-07-02 21:09:11 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Network_Solutions'
2022-07-02 21:09:12 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Computer_scientist'
2022-07-02 21:09:12 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/John_Klensin'
2022-07-02 21:09:12 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Mike_Jensen_(internet_pioneer)'
2022-07-02 21:09:12 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Robert_Metcalfe'
2022-07-02 21:09:13 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Internet_Hall_of_Fame'
2022-07-02 21:09:13 [INFO    ] (sig_logger.console_info) Worker is parsing b'https://en.wikipedia.org/wiki/Internet'
